Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0206],Norway,Norway,Unknown,,,,,
[P0207],"Skaugum,Near Oslo,Norway","Skaugum,Near Oslo,Norway",Unknown,,,,,
[P0208],"Drottningholm,Near Stockholm,Sweden","Drottningholm,Near Stockholm,Sweden",Unknown,,,,,
[P0209],Karlsruhe,Karlsruhe,Unknown,,,,,
[P0210],"Rome,Italy","Rome,Italy",Unknown,,,,,
[P0211],Biebrich,Biebrich,Unknown,,,,,
[P0212],"Pelesch,Sinaia,Romania","Pelesch,Sinaia,Romania",Unknown,,,,,
[P0213],"Blankenburg,Harz,Germany","Blankenburg,Harz,Germany",Unknown,,,,,
[P0214],"Madrid,Spain","Madrid,Spain",Unknown,,,,,
[P0215],Psychiko,Psychiko,Unknown,,,,,
[P0216],"Venice,Italy","Venice,Italy",Unknown,,,,,
[P0217],Belgrade,Belgrade,Unknown,,,,,
[P0219],"Germain-en-Laye,France","Germain-en-Laye,France",Unknown,,,,,
[P0218],"Fontainebleau,France","Fontainebleau,France",Unknown,,,,,
[P0220],"St. Denis,France","St. Denis,France",Unknown,,,,,
[P0221],Berlin,Berlin,Unknown,,,,,
[P0222],"Marmorpalais,Potsdam","Marmorpalais,Potsdam",Unknown,,,,,
[P0223],Wolfenbuttel,Wolfenbuttel,Unknown,,,,,
[P0224],Stettin,Stettin,Unknown,,,,,
[P0225],Charlottenburg,Charlottenburg,Unknown,,,,,
[P0226],"Oatlands Park,Weybridge,Surrey,England","Oatlands Park,Weybridge,Surrey,England",Unknown,,,,,
[P0227],Prenzlau,Prenzlau,Unknown,,,,,
[P0228],"Oraniensaal,The Hague","Oraniensaal,The Hague",Unknown,,,,,
[P0229],"Near Borga,Finland,Finland","Near Borga,Finland,Finland",Unknown,,,,,
[P0230],Tiflis,Tiflis,Unknown,,,,,
[P0231],Pembroke Castle,Pembroke Castle,Unknown,,,,,
[P0232],Berkhamsted,Berkhamsted,Unknown,,,,,
[P0233],"Kussnacht,Switzerland","Kussnacht,Switzerland",Unknown,,,,,
[P0234],Laeken,Laeken,Unknown,,,,,
[P0236],"Near Brussels,Belgium","Near Brussels,Belgium",Unknown,,,,,
[P0235],"Brussels,Belgium","Brussels,Belgium",Unknown,,,,,
[P0237],"Chateau de,Stuyvenberg","Chateau de,Stuyvenberg",Unknown,,,,,
[P0238],Haga Castle,Haga Castle,Unknown,,,,,
[P0239],"Hamburg,Germany","Hamburg,Germany",Unknown,,,,,
[P0240],"Charlottenlund,Nr: Copenhagen,Denmark","Charlottenlund,Nr: Copenhagen,Denmark",Unknown,,,,,
[P0241],Schwerin,Schwerin,Unknown,,,,,
[P0242],Copenhagen,Copenhagen,Unknown,,,,,
[P0243],"Sorgenfri,Nr: Copenhagen,Denmark","Sorgenfri,Nr: Copenhagen,Denmark",Unknown,,,,,
[P0244],"Munich,Germany","Munich,Germany",Unknown,,,,,
[P0245],"Theatinerkirche,Munich,Germany","Theatinerkirche,Munich,Germany",Unknown,,,,,
[P0246],"Mannheim,Germany","Mannheim,Germany",Unknown,,,,,
[P0247],"Schloss,Nymphenburg,Germany","Schloss,Nymphenburg,Germany",Unknown,,,,,
[P0248],Theatinerkirche,Theatinerkirche,Unknown,,,,,
[P0249],"The Hague,Netherlands","The Hague,Netherlands",Unknown,,,,,
[P0250],Tilburg,Tilburg,Unknown,,,,,
[P0251],"St. Petersburg,Russia","St. Petersburg,Russia",Unknown,,,,,
[P0252],Het Loo,Het Loo,Unknown,,,,,
[P0253],Jena,Jena,Unknown,,,,,
[P0254],"Soetdijk,Palace,Netherlands","Soetdijk,Palace,Netherlands",Unknown,,,,,
[P0257],"Dom Church,Munich,Germany","Dom Church,Munich,Germany",Unknown,,,,,
[P0255],Brunn,Brunn,Unknown,,,,,
[P0256],"Schloss,Wildenwart","Schloss,Wildenwart",Unknown,,,,,
[P0258],"Sarvar,Hungary","Sarvar,Hungary",Unknown,,,,,
[P0259],"Whitehall,,England","Whitehall,,England",Unknown,,,,,
[P0260],"Hampton Court,Palace,England","Hampton Court,Palace,England",Unknown,,,,,
[P0261],"Syon House,Brentford,Middlesex,England","Syon House,Brentford,Middlesex,England",Unknown,,,,,
[P0262],"Berkeley House,,England","Berkeley House,,England",Unknown,,,,,
[P0263],"St. Germain-,en-Laye,France","St. Germain-,en-Laye,France",Unknown,,,,,
[P0264],"Cranbourne Lodge,Near,Windsor,England","Cranbourne Lodge,Near,Windsor,England",Unknown,,,,,
[P0266],Whitehall,Whitehall,Unknown,,,,,
[P0265],"Worcester House,London,England","Worcester House,London,England",Unknown,,,,,
[P0267],"Richmond Palace,,England","Richmond Palace,,England",Unknown,,,,,
[P0268],"Richmond Palace,London,England","Richmond Palace,London,England",Unknown,,,,,
[P0269],"St. James Palace,,England","St. James Palace,,England",Unknown,,,,,
[P0270],"Convent of,Chaillot,France","Convent of,Chaillot,France",Unknown,,,,,
[P0271],"Rome,,Italy","Rome,,Italy",Unknown,,,,,
[P0272],"Frascati,,Italy","Frascati,,Italy",Unknown,,,,,
[P0274],"Florence,,Italy","Florence,,Italy",Unknown,,,,,
[P0273],Mons,Mons,Unknown,,,,,
[P0275],"Edinburgh Castle,,Scotland","Edinburgh Castle,,Scotland",Unknown,,,,,
[P0276],"Theobalds Park,Hertfordshire,Herts,England","Theobalds Park,Hertfordshire,Herts,England",Unknown,,,,,
[P0278],"Hampton Court,Palace","Hampton Court,Palace",Unknown,,,,,
[P0277],"Skanderborg,Castle","Skanderborg,Castle",Unknown,,,,,
[P0279],Stirling Castle,Stirling Castle,Unknown,,,,,
[P0280],Dunfermline,Dunfermline,Unknown,,,,,
[P0281],Dalkeith Palace,Dalkeith Palace,Unknown,,,,,
[P0282],Linlithgow,Linlithgow,Unknown,,,,,
[P0284],"Whitehall Palace,,England","Whitehall Palace,,England",Unknown,,,,,
[P0283],"Dunfermline,Scotland","Dunfermline,Scotland",Unknown,,,,,
[P0285],"St. George's,Chapel,Windsor,England","St. George's,Chapel,Windsor,England",Unknown,,,,,
[P0286],Stirling,Stirling,Unknown,,,,,
[P0288],"Stanwell Park,Middlesex,England","Stanwell Park,Middlesex,England",Unknown,,,,,
[P0287],Greenwich Palace,Greenwich Palace,Unknown,,,,,
[P0291],"Roskilde,Cathedral,Denmark","Roskilde,Cathedral,Denmark",Unknown,,,,,
[P0289],Haderslevhus,Haderslevhus,Unknown,,,,,
[P0290],"Antvorslev,Castle","Antvorslev,Castle",Unknown,,,,,
[P0292],Wismar,Wismar,Unknown,,,,,
[P0296],St. Denis,St. Denis,Unknown,,,,,
[P0293],Nykobing,Nykobing,Unknown,,,,,
[P0294],"Hotel du Louvre,Paris,France","Hotel du Louvre,Paris,France",Unknown,,,,,
[P0295],"Colombe,Near Paris,France","Colombe,Near Paris,France",Unknown,,,,,
[P0297],"Pau,Navarre,France","Pau,Navarre,France",Unknown,,,,,
[P0298],"Carisbrooke,Castle,Isle of Wight,England","Carisbrooke,Castle,Isle of Wight,England",Unknown,,,,,
[P0299],"Oatlands,Surrey,England","Oatlands,Surrey,England",Unknown,,,,,
[P0300],Whitehall Palace,Whitehall Palace,Unknown,,,,,
[P0301],"Bedford House,Exeter,England","Bedford House,Exeter,England",Unknown,,,,,
[P0302],St. Cloud,St. Cloud,Unknown,,,,,
[P0305],Belem,Belem,Unknown,,,,,
[P0303],"Vila Vicosa,Lisbon,Portugal","Vila Vicosa,Lisbon,Portugal",Unknown,,,,,
[P0304],"Bemposta,Palace,Lisbon,Portugal","Bemposta,Palace,Lisbon,Portugal",Unknown,,,,,
[P0306],"Kensington,Palace,England","Kensington,Palace,England",Unknown,,,,,
[P0307],Rendsborg,Rendsborg,Unknown,,,,,
[P0308],"Schloss Iburg,Near,Osnabruck","Schloss Iburg,Near,Osnabruck",Unknown,,,,,
[P0309],"Berlin,Cathedral,Germany","Berlin,Cathedral,Germany",Unknown,,,,,
[P0310],"Konigsberg,Prussia","Konigsberg,Prussia",Unknown,,,,,
[P0311],"Pembroke Castle,Pembrokeshire,England","Pembroke Castle,Pembrokeshire,England",Unknown,,,,,
[P0312],"Richmond Palace,Richmond Surrey,England","Richmond Palace,Richmond Surrey,England",Unknown,,,,,
[P0313],"Henry VII Chapel,Westminster,Abbey,England","Henry VII Chapel,Westminster,Abbey,England",Unknown,,,,,
[P0314],"Westminster,Palace,London,England","Westminster,Palace,London,England",Unknown,,,,,
[P0315],"Tower of London,London,England","Tower of London,London,England",Unknown,,,,,
[P0316],"Henry VII Chapel,Westminster,Abbey,London","Henry VII Chapel,Westminster,Abbey,London",Unknown,,,,,
[P0318],Ludlow Castle,Ludlow Castle,Unknown,,,,,
[P0317],"St. Swithin's,Priory,Winchester,England","St. Swithin's,Priory,Winchester,England",Unknown,,,,,
[P0319],Methven Castle,Methven Castle,Unknown,,,,,
[P0320],",,England",",,England",Unknown,,,,,
[P0322],"Buenos Aires,,Argentina","Buenos Aires,,Argentina",Unknown,,,,,
[P0321],"Buenos Aires,Argentina","Buenos Aires,Argentina",Unknown,,,,,
[P0323],"Portland Hosp.,,England","Portland Hosp.,,England",Unknown,,,,,
[P0324],"Greenwich Palace,,England","Greenwich Palace,,England",Unknown,,,,,
[P0325],"Whitehall,London,England","Whitehall,London,England",Unknown,,,,,
[P0326],"Eltham Palace,,England","Eltham Palace,,England",Unknown,,,,,
[P0327],"Westhorpe,Suffolk,England","Westhorpe,Suffolk,England",Unknown,,,,,
[P0328],"Greenwich,Palace,England","Greenwich,Palace,England",Unknown,,,,,
[P0329],"Bishops Hatfield,Herts,England","Bishops Hatfield,Herts,England",Unknown,,,,,
[P0330],"Tower of London,,England","Tower of London,,England",Unknown,,,,,
[P0332],"Kimbolton Castle,Hunts,England","Kimbolton Castle,Hunts,England",Unknown,,,,,
[P0331],"Near Madrid,,Spain","Near Madrid,,Spain",Unknown,,,,,
[P0333],"Peterborough,Cathedral,England","Peterborough,Cathedral,England",Unknown,,,,,
[P0334],"Linlithgow,,Scotland","Linlithgow,,Scotland",Unknown,,,,,
[P0335],"Blois,France","Blois,France",Unknown,,,,,
[P0336],"Greenwich Palace,London,England","Greenwich Palace,London,England",Unknown,,,,,
[P0337],"Blickling Hall,Norfolk,England","Blickling Hall,Norfolk,England",Unknown,,,,,
[P0338],"Chapel Royal,Tower of London,London,England","Chapel Royal,Tower of London,London,England",Unknown,,,,,
[P0339],"Greenwich,,England","Greenwich,,England",Unknown,,,,,
[P0340],"Wolf Hall,Savernake,Wilts","Wolf Hall,Savernake,Wilts",Unknown,,,,,
[P0342],"Chelsea,,England","Chelsea,,England",Unknown,,,,,
[P0341],Dusseldorf,Dusseldorf,Unknown,,,,,
[P0343],Lambeth,Lambeth,Unknown,,,,,
[P0344],"Chapel Royal,London,England","Chapel Royal,London,England",Unknown,,,,,
[P0345],Kendal Castle,Kendal Castle,Unknown,,,,,
[P0347],"Sudeley Castle,Chapel","Sudeley Castle,Chapel",Unknown,,,,,
[P0346],"Sudeley Castle,Gloucestershire","Sudeley Castle,Gloucestershire",Unknown,,,,,
[P0348],"Bradgate,Leicestershire","Bradgate,Leicestershire",Unknown,,,,,
[P0350],"Tower of London,Chapel Royal,London,England","Tower of London,Chapel Royal,London,England",Unknown,,,,,
[P0349],"Tower of London,Tower Green,London,England","Tower of London,Tower Green,London,England",Unknown,,,,,
[P0352],"El Escorial,Palace,Madrid,Spain","El Escorial,Palace,Madrid,Spain",Unknown,,,,,
[P0351],Valladolid,Valladolid,Unknown,,,,,
[P0353],Evesham,Evesham,Unknown,,,,,
[P0354],",,Yugoslavia",",,Yugoslavia",Unknown,,,,,
[P0355],U.S.A.,U.S.A.,Unknown,,,,,
[P0356],"Washington D.C.,U.S.A.","Washington D.C.,U.S.A.",Unknown,,,,,
[P0357],"Versailles,France","Versailles,France",Unknown,,,,,
[P0358],"Madrid,Spain,Spain","Madrid,Spain,Spain",Unknown,,,,,
[P0359],",,Spain",",,Spain",Unknown,,,,,
[P0360],"Oslo,Norway","Oslo,Norway",Unknown,,,,,
[P0361],",,Brazil",",,Brazil",Unknown,,,,,
[P0362],"Roman,Romania","Roman,Romania",Unknown,,,,,
[P0364],Bosworth,Bosworth,Unknown,,,,,
[P0363],"Fotheringay,Castle","Fotheringay,Castle",Unknown,,,,,
[P0365],"Grey Friars,Abbey,Leicester","Grey Friars,Abbey,Leicester",Unknown,,,,,
[P0366],"Warwick Castle,Warwick,England","Warwick Castle,Warwick,England",Unknown,,,,,
[P0367],"Middleham Castle,Yorkshire,England","Middleham Castle,Yorkshire,England",Unknown,,,,,
[P0368],"Rouen,France","Rouen,France",Unknown,,,,,
[P0369],"Grafton Regis,Northants","Grafton Regis,Northants",Unknown,,,,,
[P0370],Bermondsey Abbey,Bermondsey Abbey,Unknown,,,,,
[P0371],"Quarr Abbey,Isle of Wight,England","Quarr Abbey,Isle of Wight,England",Unknown,,,,,
[P0372],"Sanctuary,Westminster,England","Sanctuary,Westminster,England",Unknown,,,,,
[P0373],Shrewsbury,Shrewsbury,Unknown,,,,,
[P0374],"Westminster,Palace","Westminster,Palace",Unknown,,,,,
[P0375],Eltham Palace,Eltham Palace,Unknown,,,,,
[P0376],Tiverton,Tiverton,Unknown,,,,,
[P0377],Dartford,Dartford,Unknown,,,,,
[P0378],"London,,England","London,,England",Unknown,,,,,
[P0379],"Westminster,Palace,England","Westminster,Palace,England",Unknown,,,,,
[P0380],Tewkesbury,Tewkesbury,Unknown,,,,,
[P0381],Malmo,Malmo,Unknown,,,,,
[P0382],"Grunau,Austria","Grunau,Austria",Unknown,,,,,
[P0383],",Switzerland",",Switzerland",Unknown,,,,,
[P0384],Jassy,Jassy,Unknown,,,,,
[P0385],"Estoril,Portugal","Estoril,Portugal",Unknown,,,,,
[P0386],Stockholm,Stockholm,Unknown,,,,,
[P0387],Stuttgart,Stuttgart,Unknown,,,,,
[P0388],"Het Loo,Apeldoorn","Het Loo,Apeldoorn",Unknown,,,,,
[P0389],"Cotroceni Palace,Bucharest,Romania","Cotroceni Palace,Bucharest,Romania",Unknown,,,,,
[P0390],"Neuwied,Germany","Neuwied,Germany",Unknown,,,,,
[P0391],"Curtea de Arges,Romania","Curtea de Arges,Romania",Unknown,,,,,
[P0392],"Marche-les-Dames,Near Namur","Marche-les-Dames,Near Namur",Unknown,,,,,
[P0393],Possenhofen,Possenhofen,Unknown,,,,,
[P0394],"Highbury,London,England","Highbury,London,England",Unknown,,,,,
[P0395],Darmstadt,Darmstadt,Unknown,,,,,
[P0396],"Near,Heidelberg,Germany","Near,Heidelberg,Germany",Unknown,,,,,
[P0397],Strassburg,Strassburg,Unknown,,,,,
[P0399],"St. Boniface,Church,Munich","St. Boniface,Church,Munich",Unknown,,,,,
[P0398],Nice,Nice,Unknown,,,,,
[P0400],Munich,Munich,Unknown,,,,,
[P0401],"Schloss,Hohenschwangau","Schloss,Hohenschwangau",Unknown,,,,,
[P0402],"Schloss,Nymphenburg","Schloss,Nymphenburg",Unknown,,,,,
[P0404],"St. Michaels,Church,Munich","St. Michaels,Church,Munich",Unknown,,,,,
[P0403],"Starnbergersee,Near Schloss,Berg","Starnbergersee,Near Schloss,Berg",Unknown,,,,,
[P0405],"Near,Munich","Near,Munich",Unknown,,,,,
[P0406],"Salzburg,Austria","Salzburg,Austria",Unknown,,,,,
[P0407],"Bamberg,Germany","Bamberg,Germany",Unknown,,,,,
[P0408],"Sans Souci,Potsdam,Germany","Sans Souci,Potsdam,Germany",Unknown,,,,,
[P0409],"Coln au Der,Spree","Coln au Der,Spree",Unknown,,,,,
[P0410],Grabow,Grabow,Unknown,,,,,
[P0411],Dotzingen,Dotzingen,Unknown,,,,,
[P0412],"Pont-a-Mousson,Lorraine","Pont-a-Mousson,Lorraine",Unknown,,,,,
[P0414],"Angers,Cathedral","Angers,Cathedral",Unknown,,,,,
[P0413],"Chateau de,Dampiere,Near Saumur","Chateau de,Dampiere,Near Saumur",Unknown,,,,,
[P0415],Monmouth,Monmouth,Unknown,,,,,
[P0416],"Bois de,Vincennes","Bois de,Vincennes",Unknown,,,,,
[P0417],"Bermondsey,Abbey","Bermondsey,Abbey",Unknown,,,,,
[P0418],"Bolingbrooke,Castle","Bolingbrooke,Castle",Unknown,,,,,
[P0419],"Canterbury,Cathedral,England","Canterbury,Cathedral,England",Unknown,,,,,
[P0420],"Peterborough,Castle","Peterborough,Castle",Unknown,,,,,
[P0422],Beauge,Beauge,Unknown,,,,,
[P0421],Kenilworth,Kenilworth,Unknown,,,,,
[P0423],Rouen,Rouen,Unknown,,,,,
[P0424],Bury St. Edmunds,Bury St. Edmunds,Unknown,,,,,
[P0425],Germany,Germany,Unknown,,,,,
[P0426],"Convent,of Vadstena","Convent,of Vadstena",Unknown,,,,,
[P0427],Sheen Palace,Sheen Palace,Unknown,,,,,
[P0428],Valenciennes,Valenciennes,Unknown,,,,,
[P0429],"Woodstock,Oxfordshire,England","Woodstock,Oxfordshire,England",Unknown,,,,,
[P0430],"Canterbury,Cathedral,London,England","Canterbury,Cathedral,London,England",Unknown,,,,,
[P0431],Woodstock,Woodstock,Unknown,,,,,
[P0432],London,London,Unknown,,,,,
[P0433],Bayonne,Bayonne,Unknown,,,,,
[P0434],Hatfield Herts,Hatfield Herts,Unknown,,,,,
[P0436],"Dublin,Ireland","Dublin,Ireland",Unknown,,,,,
[P0435],"Antwerp,Belgium","Antwerp,Belgium",Unknown,,,,,
[P0438],Leicester Castle,Leicester Castle,Unknown,,,,,
[P0437],Ghent,Ghent,Unknown,,,,,
[P0439],"Kings Langley,Herts","Kings Langley,Herts",Unknown,,,,,
[P0440],Tower of London,Tower of London,Unknown,,,,,
[P0441],"Waltham,Near Winchester","Waltham,Near Winchester",Unknown,,,,,
[P0442],Calais,Calais,Unknown,,,,,
[P0443],"Bolingbroke,Castle","Bolingbroke,Castle",Unknown,,,,,
[P0444],"Linlithgow,Scotland","Linlithgow,Scotland",Unknown,,,,,
[P0445],",England",",England",Unknown,,,,,
[P0446],"Orleans,France","Orleans,France",Unknown,,,,,
[P0447],"Stirling,Scotland","Stirling,Scotland",Unknown,,,,,
[P0448],"Eltham Palace,Kent","Eltham Palace,Kent",Unknown,,,,,
[P0449],Perth,Perth,Unknown,,,,,
[P0450],Deventer,Deventer,Unknown,,,,,
